                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 4.3375,                 3.2936,                 3.5432,                      0,                      0,                      0,                      0,                 8.6398,                 8.5478,                 8.5181,              0.0012833,              0.0012833,              0.0012833
                    105,                 4.1964,                  5.601,                  5.592,                      0,                      0,                      0,                      0,                 8.6398,                 8.5478,                 8.5181,              0.0012819,              0.0012819,              0.0012819
                    106,                 3.7694,                  3.112,                 3.2393,                      0,                      0,                      0,                      0,                 8.6398,                 8.5478,                 8.5181,              0.0012805,              0.0012805,              0.0012805
                    107,                 4.0437,                 3.0287,                 3.2314,                      0,                      0,                      0,                      0,                 8.6398,                 8.5478,                 8.5181,               0.001279,               0.001279,               0.001279
                    108,                 4.4526,                 3.8637,                  3.818,                      0,                      0,                      0,                      0,                 8.3916,                 8.5362,                 8.4774,              0.0012776,              0.0012776,              0.0012776
                    109,                 4.0673,                 3.1744,                 3.4327,                      0,                      0,                      0,                      0,                 8.3916,                 8.5362,                 8.4774,              0.0012762,              0.0012762,              0.0012762
                    110,                 4.1619,                 3.5038,                 3.5669,                      0,                      0,                      0,                      0,                 8.3916,                 8.5362,                 8.4774,              0.0012748,              0.0012748,              0.0012748
                    111,                 4.4734,                 3.3188,                 3.1852,                      0,                      0,                      0,                      0,                 8.3916,                 8.5362,                 8.4774,              0.0012734,              0.0012734,              0.0012734
                    112,                 4.6404,                 3.4177,                 3.3159,                      0,                      0,                      0,                      0,                 7.1482,                 8.3963,                 8.4371,               0.001272,               0.001272,               0.001272
                    113,                 3.8239,                  4.318,                 4.2513,                      0,                      0,                      0,                      0,                 7.1482,                 8.3963,                 8.4371,              0.0012706,              0.0012706,              0.0012706
                    114,                 3.7644,                 3.6966,                 3.8138,                      0,                      0,                      0,                      0,                 7.1482,                 8.3963,                 8.4371,              0.0012691,              0.0012691,              0.0012691
                    115,                  4.062,                 3.9918,                 4.4417,                      0,                      0,                      0,                      0,                 7.1482,                 8.3963,                 8.4371,              0.0012677,              0.0012677,              0.0012677
                    116,                 4.0373,                  4.427,                 4.8108,                0.01389,                0.01961,                0.01576,                0.00559,                 6.6804,                  8.115,                 7.7444,              0.0012663,              0.0012663,              0.0012663
                    117,                   3.92,                 3.2228,                 3.9103,                0.01389,                0.01961,                0.01576,                0.00559,                 6.6804,                  8.115,                 7.7444,              0.0012649,              0.0012649,              0.0012649
                    118,                 3.8758,                 4.7624,                 6.1765,                0.01389,                0.01961,                0.01576,                0.00559,                 6.6804,                  8.115,                 7.7444,              0.0012635,              0.0012635,              0.0012635
